gene,importance,p_value,rank_by_importance,is_known,high_group_size,low_group_size,significant
VSTM2B,0.0,0.0255422642791671,8027,False,56,127,YES
WWP1,0.0,0.12253932465928012,8028,False,91,92,NO
CAD,0.0,0.9816782428206468,8029,False,91,92,NO
PGF,0.0,0.28193277879828876,8030,False,91,92,NO
PGD,0.0,0.963997708426442,8031,False,91,92,NO
C20orf118,0.0,0.5977787018965828,8032,False,91,92,NO
PGC,0.0,0.5002730489985598,8033,False,91,92,NO
SNAR-B2,0.0,,8034,False,6,177,NA
SNORA8,0.0,0.5119304397848286,8035,False,91,92,NO
LOC150786,0.0,0.03797046654314131,8036,False,91,92,YES
C20orf112,0.0,0.539084097046546,8037,False,91,92,NO
C20orf111,0.0,0.08494831061602519,8038,False,91,92,NO
C20orf117,0.0,0.032130567065314725,8039,False,91,92,YES
C20orf114,0.0,0.8072229362432705,8040,False,91,92,NO
DEFA6,0.0,0.8018071102882899,8041,False,45,138,NO
DEFA5,0.0,0.5827639040201092,8042,False,49,134,NO
DEFA4,0.0,0.8686836383509831,8043,False,55,128,NO
PGR,0.0,0.2896861432345287,8044,False,91,92,NO
PGP,0.0,0.3185478888378371,8045,False,91,92,NO
POTEH,0.0,,8046,False,9,174,NA
POTEG,0.0,0.02875402223992194,8047,False,17,166,YES
POTEE,0.0,0.012938104899427963,8049,False,91,92,YES
POTED,0.0,,8050,False,1,182,NA
IVNS1ABP,0.0,0.47361534771424696,8051,False,91,92,NO
POTEB,0.0,,8052,False,5,178,NA
POTEA,0.0,,8053,False,0,183,NA
ASIP,0.0,0.12406004475328432,8054,False,91,92,NO
C21orf90,0.0,0.2043152989067029,8055,False,91,92,NO
C21orf91,0.0,0.9082631120522676,8056,False,91,92,NO
NDUFC2,0.0,0.7490065970991742,8057,False,91,92,NO
C21orf94,0.0,,8058,False,3,180,NA
C21orf96,0.0,0.5359899553614407,8059,False,91,92,NO
C21orf99,0.0,0.5202392055855345,8060,False,50,133,NO
BMI1,0.0,0.6730409845861127,8062,False,91,92,NO
MRS2,0.0,0.5526348099397673,8063,False,91,92,NO
COX4NB,0.0,0.8376358684269148,8064,False,91,92,NO
SEPSECS,0.0,0.7298548332309645,8065,False,91,92,NO
ZNF500,0.0,0.016122451082845872,8066,False,91,92,YES
GPR44,0.0,0.009579067631664299,8067,False,91,92,YES
GPR45,0.0,0.008905515997454714,8068,False,91,92,YES
SLC45A2,0.0,0.1185917769484828,8069,False,91,92,NO
LYZL6,0.0,0.6240664413451668,8070,False,26,157,NO
NRP1,0.0,0.908400563093659,8071,False,91,92,NO
NBPF14,0.0,0.9335008361824312,8072,False,91,92,NO
C12orf63,0.0,0.6765149398177184,8073,False,91,92,NO
C12orf62,0.0,0.018780544564024497,8074,False,91,92,YES
CA9,0.0,0.007786213836062491,8075,False,91,92,YES
CA8,0.0,0.12867980114156286,8076,False,91,92,NO
C12orf66,0.0,0.24292903091117518,8077,False,91,92,NO
C12orf65,0.0,0.1640618391392818,8078,False,91,92,NO
CA3,0.0,0.08969703718196477,8079,False,91,92,NO
CA2,0.0,0.4601613507763631,8080,False,91,92,NO
CA1,0.0,0.9400963945588516,8081,False,76,107,NO
C12orf68,0.0,0.04873651936829785,8082,False,91,92,YES
CA7,0.0,0.23760757133405705,8083,False,91,92,NO
CA6,0.0,0.22271518253474673,8084,False,34,149,NO
ARMCX1,0.0,0.016981302713633364,8085,False,91,92,YES
CA4,0.0,0.8194699204839117,8086,False,91,92,NO
FUT7,0.0,0.34781553666867404,8087,False,91,92,NO
FUT6,0.0,0.7187423361851697,8088,False,91,92,NO
FUT5,0.0,0.06402812700573435,8089,False,91,92,NO
FUT4,0.0,0.20947725132517733,8090,False,91,92,NO
FUT3,0.0,0.17194811099591598,8091,False,91,92,NO
FUT2,0.0,0.1336055374738119,8092,False,91,92,NO
MAGEA9B,0.0,0.9862835983329672,8094,False,32,151,NO
MAGED4B,0.0,0.002687690238236273,8095,False,91,92,YES
KRT33A,0.0,0.4478088379128883,8096,False,16,167,NO
FUT9,0.0,0.8596820119271413,8097,False,91,92,NO
PTMA,0.0,0.06329957036181656,8099,False,91,92,NO
GHR,0.0,0.07363254052068988,8100,False,91,92,NO
ATP5J2,0.0,0.7233606685886407,8101,False,91,92,NO
GSTA5,0.0,,8102,False,5,178,NA
SF4,0.0,0.2035894843056993,8103,False,91,92,NO
RPE65,0.0,0.22151338056129835,8104,False,91,92,NO
GSTA1,0.0,0.7224112653805568,8105,False,91,92,NO
GSTA2,0.0,0.79096902277691,8106,False,91,92,NO
GSTA3,0.0,0.11899362682959339,8107,False,25,158,NO
SNORD28,0.0,,8108,False,0,183,NA
MKX,0.0,0.8678029576784433,8110,False,91,92,NO
NCRNA00099,0.0,,8111,False,3,180,NA
NLGN2,0.0,0.1105386659542347,8112,False,91,92,NO
FBLN2,0.0,0.6748233264849833,8113,False,91,92,NO
FBLN1,0.0,0.5226171270079156,8114,False,91,92,NO
NCRNA00094,0.0,0.03445418414029347,8115,False,91,92,YES
NCRNA00092,0.0,0.23270693505770537,8117,False,91,92,NO
ZNF586,0.0,0.8325351440386304,8119,False,91,92,NO
LOC100132831,0.0,0.8400938859102046,8120,False,91,92,NO
LOC100132832,0.0,0.0987932771600543,8121,False,91,92,NO
TRAF1,0.0,0.016889649863848957,8122,False,91,92,YES
NHEG1,0.0,0.6693200528870368,8123,False,53,130,NO
GAN,0.0,0.012041727861636039,8124,False,91,92,YES
OSBPL6,0.0,0.5448166989992802,8125,False,91,92,NO
ZNF238,0.0,0.23563408778922143,8126,False,91,92,NO
DYNLT1,0.0,0.5434876195600828,8127,False,91,92,NO
NIPBL,0.0,0.08012859156791874,8128,False,91,92,NO
DYNLT3,0.0,0.7619929296120456,8129,False,91,92,NO
STRAP,0.0,0.8210082054019695,8130,False,91,92,NO
C1orf84,0.0,0.04822178444667159,8131,False,91,92,YES
C1orf85,0.0,0.783830681517359,8132,False,91,92,NO
C1orf86,0.0,0.07147047639803118,8133,False,91,92,NO
CBFB,0.0,0.010415028553836825,8134,False,91,92,YES
NLGN3,0.0,0.6574597167552677,8135,False,91,92,NO
C1orf83,0.0,0.14433080073242802,8136,False,91,92,NO
VAMP3,0.0,0.035385712314213814,8137,False,91,92,YES
GAK,0.0,0.11768693305107186,8138,False,91,92,NO
PA2G4P4,0.0,0.09277359752287391,8139,False,91,92,NO
C1orf88,0.0,0.04455919276820206,8140,False,91,92,YES
ZNF234,0.0,0.2068807636284091,8142,False,91,92,NO
TOMM7,0.0,0.17366615914526135,8143,False,91,92,NO
MDH1,0.0,0.8207997845915194,8144,False,91,92,NO
STRA8,0.0,0.3612887448072959,8145,False,12,171,NO
SIM1,0.0,0.3446088734603193,8146,False,91,92,NO
STRA6,0.0,0.3796508769565813,8147,False,91,92,NO
HGC6.3,0.0,0.8915128278002732,8148,False,68,115,NO
RPL23AP7,0.0,0.6138703344935146,8149,False,91,92,NO
PEX11A,0.0,0.6677388499464999,8150,False,91,92,NO
NRG1,0.0,0.7475963728732801,8151,False,91,92,NO
SIGLEC14,0.0,0.6717723400952673,8152,False,91,92,NO
PEX11B,0.0,0.2678920542538352,8153,False,91,92,NO
CGNL1,0.0,0.11452899558650595,8154,False,91,92,NO
APCDD1L,0.0,0.2052159163775015,8155,False,91,92,NO
SIGLEC11,0.0,0.8116812549940159,8156,False,91,92,NO
TMEM93,0.0,0.1305978465333212,8157,False,91,92,NO
GTF2F1,0.0,0.544841970357828,8158,False,91,92,NO
KIFC2,0.0,0.07047834178941624,8159,False,91,92,NO
KIFC3,0.0,0.2552821063927704,8160,False,91,92,NO
PAFAH1B3,0.0,0.7575641020239262,8161,False,91,92,NO
KIFC1,0.0,0.0017525570932952054,8162,False,91,92,YES
C10orf125,0.0,0.48243567268453735,8163,False,91,92,NO
C10orf122,0.0,,8164,False,2,181,NA
GH2,0.0,,8165,False,9,174,NA
C10orf120,0.0,0.5241999273205392,8166,False,26,157,NO
C10orf129,0.0,0.8419201272515873,8168,False,75,108,NO
C10orf128,0.0,0.9914714052658896,8169,False,91,92,NO
SFN,0.0,0.06860001688753321,8170,False,91,92,NO
NLGN1,0.0,0.03183211379098409,8171,False,91,92,YES
CYLD,0.0,0.3451975786896012,8172,False,91,92,NO
EID3,0.0,0.19921752206600232,8173,False,91,92,NO
