#node	identifier	category	term ID	term description
LYPD3	9606.ENSP00000244333	GO Component	GO:0005576	Extracellular region
LYPD3	9606.ENSP00000244333	GO Component	GO:0005615	Extracellular space
LYPD3	9606.ENSP00000244333	GO Component	GO:0005886	Plasma membrane
LYPD3	9606.ENSP00000244333	GO Component	GO:0016020	Membrane
LYPD3	9606.ENSP00000244333	GO Component	GO:0016021	Integral component of membrane
LYPD3	9606.ENSP00000244333	GO Component	GO:0031224	Intrinsic component of membrane
LYPD3	9606.ENSP00000244333	GO Component	GO:0031225	Anchored component of membrane
LYPD3	9606.ENSP00000244333	GO Component	GO:0031226	Intrinsic component of plasma membrane
LYPD3	9606.ENSP00000244333	GO Component	GO:0046658	Anchored component of plasma membrane
LYPD3	9606.ENSP00000244333	GO Component	GO:0071944	Cell periphery
LYPD3	9606.ENSP00000244333	GO Component	GO:0110165	Cellular anatomical entity
LYPD3	9606.ENSP00000244333	STRING clusters	CL:34817	Mixed, incl. Snake toxin-like superfamily, and CCDC85 family
LYPD3	9606.ENSP00000244333	STRING clusters	CL:34818	Mixed, incl. Snake toxin-like superfamily, and Thioredoxin
LYPD3	9606.ENSP00000244333	STRING clusters	CL:34883	Thioredoxin-like, and Thioredoxin, conserved site
LYPD3	9606.ENSP00000244333	Reactome	HSA-163125	Post-translational modification: synthesis of GPI-anchored proteins
LYPD3	9606.ENSP00000244333	Reactome	HSA-392499	Metabolism of proteins
LYPD3	9606.ENSP00000244333	Reactome	HSA-597592	Post-translational protein modification
LYPD3	9606.ENSP00000244333	TISSUES	BTO:0000000	Tissues, cell types and enzyme sources
LYPD3	9606.ENSP00000244333	TISSUES	BTO:0000042	Animal
LYPD3	9606.ENSP00000244333	TISSUES	BTO:0000081	Reproductive system
LYPD3	9606.ENSP00000244333	TISSUES	BTO:0000083	Female reproductive system
LYPD3	9606.ENSP00000244333	TISSUES	BTO:0000123	Bladder
LYPD3	9606.ENSP00000244333	TISSUES	BTO:0000174	Embryonic structure
LYPD3	9606.ENSP00000244333	TISSUES	BTO:0000284	Organism form
LYPD3	9606.ENSP00000244333	TISSUES	BTO:0000449	Fetus
LYPD3	9606.ENSP00000244333	TISSUES	BTO:0000634	Integument
LYPD3	9606.ENSP00000244333	TISSUES	BTO:0001078	Placenta
LYPD3	9606.ENSP00000244333	TISSUES	BTO:0001244	Urinary tract
LYPD3	9606.ENSP00000244333	TISSUES	BTO:0001253	Skin
LYPD3	9606.ENSP00000244333	TISSUES	BTO:0001418	Urinary bladder
LYPD3	9606.ENSP00000244333	TISSUES	BTO:0001489	Whole body
LYPD3	9606.ENSP00000244333	TISSUES	BTO:0001491	Viscus
LYPD3	9606.ENSP00000244333	TISSUES	BTO:0001694	Urinary bladder epithelium
LYPD3	9606.ENSP00000244333	TISSUES	BTO:0003091	Urogenital system
LYPD3	9606.ENSP00000244333	TISSUES	BTO:0003092	Urinary system
LYPD3	9606.ENSP00000244333	TISSUES	BTO:0003099	Internal female genital organ
LYPD3	9606.ENSP00000244333	COMPARTMENTS	GOCC:0005576	Extracellular region
LYPD3	9606.ENSP00000244333	COMPARTMENTS	GOCC:0005886	Plasma membrane
LYPD3	9606.ENSP00000244333	COMPARTMENTS	GOCC:0016020	Membrane
LYPD3	9606.ENSP00000244333	COMPARTMENTS	GOCC:0031224	Intrinsic component of membrane
LYPD3	9606.ENSP00000244333	COMPARTMENTS	GOCC:0031225	Anchored component of membrane
LYPD3	9606.ENSP00000244333	COMPARTMENTS	GOCC:0031226	Intrinsic component of plasma membrane
LYPD3	9606.ENSP00000244333	COMPARTMENTS	GOCC:0046658	Anchored component of plasma membrane
LYPD3	9606.ENSP00000244333	COMPARTMENTS	GOCC:0071944	Cell periphery
LYPD3	9606.ENSP00000244333	COMPARTMENTS	GOCC:0110165	Cellular anatomical entity
LYPD3	9606.ENSP00000244333	Monarch	EFO:0004747	Protein measurement
LYPD3	9606.ENSP00000244333	Monarch	EFO:0007937	Blood protein measurement
LYPD3	9606.ENSP00000244333	Monarch	EFO:0008142	Granulocyte colony-stimulating factor measurement
LYPD3	9606.ENSP00000244333	UniProt Keywords	KW-0325	Glycoprotein
LYPD3	9606.ENSP00000244333	UniProt Keywords	KW-0336	GPI-anchor
LYPD3	9606.ENSP00000244333	UniProt Keywords	KW-0449	Lipoprotein
LYPD3	9606.ENSP00000244333	UniProt Keywords	KW-0472	Membrane
LYPD3	9606.ENSP00000244333	UniProt Keywords	KW-0677	Repeat
LYPD3	9606.ENSP00000244333	UniProt Keywords	KW-0732	Signal
LYPD3	9606.ENSP00000244333	UniProt Keywords	KW-1003	Cell membrane
LYPD3	9606.ENSP00000244333	Pfam	PF00021	u-PAR/Ly-6 domain
LYPD3	9606.ENSP00000244333	InterPro	IPR016054	Ly-6 antigen/uPA receptor-like
LYPD3	9606.ENSP00000244333	InterPro	IPR045860	Snake toxin-like superfamily
LYPD3	9606.ENSP00000244333	SMART	SM00134	Ly-6 antigen / uPA receptor -like domain
LYSMD1	9606.ENSP00000357904	GO Component	GO:0005622	Intracellular anatomical structure
LYSMD1	9606.ENSP00000357904	GO Component	GO:0005634	Nucleus
LYSMD1	9606.ENSP00000357904	GO Component	GO:0005654	Nucleoplasm
LYSMD1	9606.ENSP00000357904	GO Component	GO:0031974	Membrane-enclosed lumen
LYSMD1	9606.ENSP00000357904	GO Component	GO:0031981	Nuclear lumen
LYSMD1	9606.ENSP00000357904	GO Component	GO:0043226	Organelle
LYSMD1	9606.ENSP00000357904	GO Component	GO:0043227	Membrane-bounded organelle
LYSMD1	9606.ENSP00000357904	GO Component	GO:0043229	Intracellular organelle
LYSMD1	9606.ENSP00000357904	GO Component	GO:0043231	Intracellular membrane-bounded organelle
LYSMD1	9606.ENSP00000357904	GO Component	GO:0043233	Organelle lumen
LYSMD1	9606.ENSP00000357904	GO Component	GO:0070013	Intracellular organelle lumen
LYSMD1	9606.ENSP00000357904	GO Component	GO:0110165	Cellular anatomical entity
LYSMD1	9606.ENSP00000357904	STRING clusters	CL:37333	Mostly uncharacterized, incl. Nanophthalmos, and Angle-closure glaucoma
LYSMD1	9606.ENSP00000357904	STRING clusters	CL:37334	Mostly uncharacterized, incl. Domain of unknown function DUF4195, and PLAC (protease and lacunin) domain
LYSMD1	9606.ENSP00000357904	STRING clusters	CL:37335	Mostly uncharacterized, incl. PLAC (protease and lacunin) domain, and Family 104
LYSMD1	9606.ENSP00000357904	STRING clusters	CL:37336	Mostly uncharacterized, incl. PLAC (protease and lacunin) domain, and Family 104
LYSMD1	9606.ENSP00000357904	STRING clusters	CL:37337	Mostly uncharacterized, incl. Family 104, and Nck-associated protein 5-like
LYSMD1	9606.ENSP00000357904	STRING clusters	CL:37339	Mixed, incl. Family 104, and LysM and putative peptidoglycan-binding domain-containing protein 1-4
LYSMD1	9606.ENSP00000357904	COMPARTMENTS	GOCC:0005622	Intracellular
LYSMD1	9606.ENSP00000357904	COMPARTMENTS	GOCC:0005634	Nucleus
LYSMD1	9606.ENSP00000357904	COMPARTMENTS	GOCC:0043226	Organelle
LYSMD1	9606.ENSP00000357904	COMPARTMENTS	GOCC:0043227	Membrane-bounded organelle
LYSMD1	9606.ENSP00000357904	COMPARTMENTS	GOCC:0043229	Intracellular organelle
LYSMD1	9606.ENSP00000357904	COMPARTMENTS	GOCC:0043231	Intracellular membrane-bounded organelle
LYSMD1	9606.ENSP00000357904	COMPARTMENTS	GOCC:0110165	Cellular anatomical entity
LYSMD1	9606.ENSP00000357904	UniProt Keywords	KW-0025	Alternative splicing
LYSMD1	9606.ENSP00000357904	UniProt Keywords	KW-0597	Phosphoprotein
LYSMD1	9606.ENSP00000357904	InterPro	IPR018392	LysM domain
LYSMD1	9606.ENSP00000357904	InterPro	IPR036779	LysM domain superfamily
LYSMD1	9606.ENSP00000357904	InterPro	IPR045030	LysM and putative peptidoglycan-binding domain-containing protein 1-4
LYSMD1	9606.ENSP00000357904	SMART	SM00257	Lysin motif
MDM2	9606.ENSP00000258149	GO Process	GO:0000075	Cell cycle checkpoint signaling
MDM2	9606.ENSP00000258149	GO Process	GO:0000077	DNA damage checkpoint signaling
MDM2	9606.ENSP00000258149	GO Process	GO:0000122	Negative regulation of transcription by RNA polymerase II
MDM2	9606.ENSP00000258149	GO Process	GO:0000209	Protein polyubiquitination
MDM2	9606.ENSP00000258149	GO Process	GO:0000278	Mitotic cell cycle
MDM2	9606.ENSP00000258149	GO Process	GO:0001568	Blood vessel development
MDM2	9606.ENSP00000258149	GO Process	GO:0001666	Response to hypoxia
MDM2	9606.ENSP00000258149	GO Process	GO:0001944	Vasculature development
MDM2	9606.ENSP00000258149	GO Process	GO:0001974	Blood vessel remodeling
MDM2	9606.ENSP00000258149	GO Process	GO:0002027	Regulation of heart rate
MDM2	9606.ENSP00000258149	GO Process	GO:0003007	Heart morphogenesis
MDM2	9606.ENSP00000258149	GO Process	GO:0003170	Heart valve development
MDM2	9606.ENSP00000258149	GO Process	GO:0003171	Atrioventricular valve development
MDM2	9606.ENSP00000258149	GO Process	GO:0003179	Heart valve morphogenesis
MDM2	9606.ENSP00000258149	GO Process	GO:0003181	Atrioventricular valve morphogenesis
MDM2	9606.ENSP00000258149	GO Process	GO:0003197	Endocardial cushion development
MDM2	9606.ENSP00000258149	GO Process	GO:0003203	Endocardial cushion morphogenesis
MDM2	9606.ENSP00000258149	GO Process	GO:0003205	Cardiac chamber development
MDM2	9606.ENSP00000258149	GO Process	GO:0003206	Cardiac chamber morphogenesis
MDM2	9606.ENSP00000258149	GO Process	GO:0003230	Cardiac atrium development
MDM2	9606.ENSP00000258149	GO Process	GO:0003231	Cardiac ventricle development
MDM2	9606.ENSP00000258149	GO Process	GO:0003279	Cardiac septum development
MDM2	9606.ENSP00000258149	GO Process	GO:0003281	Ventricular septum development
MDM2	9606.ENSP00000258149	GO Process	GO:0003283	Atrial septum development
MDM2	9606.ENSP00000258149	GO Process	GO:0006355	Regulation of transcription, DNA-templated
MDM2	9606.ENSP00000258149	GO Process	GO:0006357	Regulation of transcription by RNA polymerase II
MDM2	9606.ENSP00000258149	GO Process	GO:0006508	Proteolysis
MDM2	9606.ENSP00000258149	GO Process	GO:0006511	Ubiquitin-dependent protein catabolic process
MDM2	9606.ENSP00000258149	GO Process	GO:0006807	Nitrogen compound metabolic process
MDM2	9606.ENSP00000258149	GO Process	GO:0006915	Apoptotic process
MDM2	9606.ENSP00000258149	GO Process	GO:0006950	Response to stress
MDM2	9606.ENSP00000258149	GO Process	GO:0006974	Cellular response to DNA damage stimulus
MDM2	9606.ENSP00000258149	GO Process	GO:0006977	DNA damage response, signal transduction by p53 class mediator resulting in cell cycle arrest
MDM2	9606.ENSP00000258149	GO Process	GO:0007049	Cell cycle
MDM2	9606.ENSP00000258149	GO Process	GO:0007089	Traversing start control point of mitotic cell cycle
MDM2	9606.ENSP00000258149	GO Process	GO:0007093	Mitotic cell cycle checkpoint signaling
MDM2	9606.ENSP00000258149	GO Process	GO:0007154	Cell communication
MDM2	9606.ENSP00000258149	GO Process	GO:0007165	Signal transduction
MDM2	9606.ENSP00000258149	GO Process	GO:0007275	Multicellular organism development
MDM2	9606.ENSP00000258149	GO Process	GO:0007346	Regulation of mitotic cell cycle
MDM2	9606.ENSP00000258149	GO Process	GO:0007507	Heart development
MDM2	9606.ENSP00000258149	GO Process	GO:0008016	Regulation of heart contraction
MDM2	9606.ENSP00000258149	GO Process	GO:0008104	Protein localization
MDM2	9606.ENSP00000258149	GO Process	GO:0008152	Metabolic process
MDM2	9606.ENSP00000258149	GO Process	GO:0008219	Cell death
MDM2	9606.ENSP00000258149	GO Process	GO:0008284	Positive regulation of cell population proliferation
MDM2	9606.ENSP00000258149	GO Process	GO:0009056	Catabolic process
MDM2	9606.ENSP00000258149	GO Process	GO:0009057	Macromolecule catabolic process
MDM2	9606.ENSP00000258149	GO Process	GO:0009314	Response to radiation
MDM2	9606.ENSP00000258149	GO Process	GO:0009628	Response to abiotic stimulus
MDM2	9606.ENSP00000258149	GO Process	GO:0009653	Anatomical structure morphogenesis
MDM2	9606.ENSP00000258149	GO Process	GO:0009719	Response to endogenous stimulus
MDM2	9606.ENSP00000258149	GO Process	GO:0009887	Animal organ morphogenesis
MDM2	9606.ENSP00000258149	GO Process	GO:0009888	Tissue development
MDM2	9606.ENSP00000258149	GO Process	GO:0009889	Regulation of biosynthetic process
MDM2	9606.ENSP00000258149	GO Process	GO:0009890	Negative regulation of biosynthetic process
MDM2	9606.ENSP00000258149	GO Process	GO:0009892	Negative regulation of metabolic process
MDM2	9606.ENSP00000258149	GO Process	GO:0009893	Positive regulation of metabolic process
MDM2	9606.ENSP00000258149	GO Process	GO:0009894	Regulation of catabolic process
MDM2	9606.ENSP00000258149	GO Process	GO:0009896	Positive regulation of catabolic process
MDM2	9606.ENSP00000258149	GO Process	GO:0009966	Regulation of signal transduction
MDM2	9606.ENSP00000258149	GO Process	GO:0009968	Negative regulation of signal transduction
MDM2	9606.ENSP00000258149	GO Process	GO:0009987	Cellular process
MDM2	9606.ENSP00000258149	GO Process	GO:0010033	Response to organic substance
MDM2	9606.ENSP00000258149	GO Process	GO:0010212	Response to ionizing radiation
MDM2	9606.ENSP00000258149	GO Process	GO:0010243	Response to organonitrogen compound
MDM2	9606.ENSP00000258149	GO Process	GO:0010332	Response to gamma radiation
MDM2	9606.ENSP00000258149	GO Process	GO:0010468	Regulation of gene expression
MDM2	9606.ENSP00000258149	GO Process	GO:0010498	Proteasomal protein catabolic process
MDM2	9606.ENSP00000258149	GO Process	GO:0010556	Regulation of macromolecule biosynthetic process
MDM2	9606.ENSP00000258149	GO Process	GO:0010558	Negative regulation of macromolecule biosynthetic process
MDM2	9606.ENSP00000258149	GO Process	GO:0010564	Regulation of cell cycle process
MDM2	9606.ENSP00000258149	GO Process	GO:0010604	Positive regulation of macromolecule metabolic process
MDM2	9606.ENSP00000258149	GO Process	GO:0010605	Negative regulation of macromolecule metabolic process
MDM2	9606.ENSP00000258149	GO Process	GO:0010646	Regulation of cell communication
MDM2	9606.ENSP00000258149	GO Process	GO:0010648	Negative regulation of cell communication
MDM2	9606.ENSP00000258149	GO Process	GO:0010941	Regulation of cell death
MDM2	9606.ENSP00000258149	GO Process	GO:0010948	Negative regulation of cell cycle process
MDM2	9606.ENSP00000258149	GO Process	GO:0012501	Programmed cell death
MDM2	9606.ENSP00000258149	GO Process	GO:0016043	Cellular component organization
MDM2	9606.ENSP00000258149	GO Process	GO:0016567	Protein ubiquitination
MDM2	9606.ENSP00000258149	GO Process	GO:0016925	Protein sumoylation
MDM2	9606.ENSP00000258149	GO Process	GO:0018193	Peptidyl-amino acid modification
MDM2	9606.ENSP00000258149	GO Process	GO:0018205	Peptidyl-lysine modification
MDM2	9606.ENSP00000258149	GO Process	GO:0019219	Regulation of nucleobase-containing compound metabolic process
MDM2	9606.ENSP00000258149	GO Process	GO:0019222	Regulation of metabolic process
MDM2	9606.ENSP00000258149	GO Process	GO:0019538	Protein metabolic process
MDM2	9606.ENSP00000258149	GO Process	GO:0019941	Modification-dependent protein catabolic process
MDM2	9606.ENSP00000258149	GO Process	GO:0022402	Cell cycle process
MDM2	9606.ENSP00000258149	GO Process	GO:0022607	Cellular component assembly
MDM2	9606.ENSP00000258149	GO Process	GO:0023051	Regulation of signaling
MDM2	9606.ENSP00000258149	GO Process	GO:0023052	Signaling
MDM2	9606.ENSP00000258149	GO Process	GO:0023057	Negative regulation of signaling
MDM2	9606.ENSP00000258149	GO Process	GO:0030162	Regulation of proteolysis
MDM2	9606.ENSP00000258149	GO Process	GO:0030163	Protein catabolic process
MDM2	9606.ENSP00000258149	GO Process	GO:0030330	DNA damage response, signal transduction by p53 class mediator
MDM2	9606.ENSP00000258149	GO Process	GO:0031323	Regulation of cellular metabolic process
MDM2	9606.ENSP00000258149	GO Process	GO:0031324	Negative regulation of cellular metabolic process
MDM2	9606.ENSP00000258149	GO Process	GO:0031325	Positive regulation of cellular metabolic process
MDM2	9606.ENSP00000258149	GO Process	GO:0031326	Regulation of cellular biosynthetic process
MDM2	9606.ENSP00000258149	GO Process	GO:0031327	Negative regulation of cellular biosynthetic process
MDM2	9606.ENSP00000258149	GO Process	GO:0031329	Regulation of cellular catabolic process
MDM2	9606.ENSP00000258149	GO Process	GO:0031331	Positive regulation of cellular catabolic process
MDM2	9606.ENSP00000258149	GO Process	GO:0031570	DNA integrity checkpoint signaling
MDM2	9606.ENSP00000258149	GO Process	GO:0031571	Mitotic G1 DNA damage checkpoint signaling
MDM2	9606.ENSP00000258149	GO Process	GO:0031647	Regulation of protein stability
MDM2	9606.ENSP00000258149	GO Process	GO:0031648	Protein destabilization
MDM2	9606.ENSP00000258149	GO Process	GO:0032434	Regulation of proteasomal ubiquitin-dependent protein catabolic process
MDM2	9606.ENSP00000258149	GO Process	GO:0032436	Positive regulation of proteasomal ubiquitin-dependent protein catabolic process
MDM2	9606.ENSP00000258149	GO Process	GO:0032446	Protein modification by small protein conjugation
MDM2	9606.ENSP00000258149	GO Process	GO:0032501	Multicellular organismal process
MDM2	9606.ENSP00000258149	GO Process	GO:0032502	Developmental process
MDM2	9606.ENSP00000258149	GO Process	GO:0033036	Macromolecule localization
MDM2	9606.ENSP00000258149	GO Process	GO:0033365	Protein localization to organelle
MDM2	9606.ENSP00000258149	GO Process	GO:0033554	Cellular response to stress
MDM2	9606.ENSP00000258149	GO Process	GO:0034504	Protein localization to nucleus
MDM2	9606.ENSP00000258149	GO Process	GO:0035556	Intracellular signal transduction
MDM2	9606.ENSP00000258149	GO Process	GO:0036211	Protein modification process
MDM2	9606.ENSP00000258149	GO Process	GO:0036293	Response to decreased oxygen levels
MDM2	9606.ENSP00000258149	GO Process	GO:0036294	Cellular response to decreased oxygen levels
MDM2	9606.ENSP00000258149	GO Process	GO:0036369	Transcription factor catabolic process
MDM2	9606.ENSP00000258149	GO Process	GO:0042127	Regulation of cell population proliferation
MDM2	9606.ENSP00000258149	GO Process	GO:0042176	Regulation of protein catabolic process
MDM2	9606.ENSP00000258149	GO Process	GO:0042221	Response to chemical
MDM2	9606.ENSP00000258149	GO Process	GO:0042770	Signal transduction in response to DNA damage
MDM2	9606.ENSP00000258149	GO Process	GO:0042981	Regulation of apoptotic process
MDM2	9606.ENSP00000258149	GO Process	GO:0043066	Negative regulation of apoptotic process
MDM2	9606.ENSP00000258149	GO Process	GO:0043067	Regulation of programmed cell death
MDM2	9606.ENSP00000258149	GO Process	GO:0043069	Negative regulation of programmed cell death
MDM2	9606.ENSP00000258149	GO Process	GO:0043161	Proteasome-mediated ubiquitin-dependent protein catabolic process
MDM2	9606.ENSP00000258149	GO Process	GO:0043170	Macromolecule metabolic process
MDM2	9606.ENSP00000258149	GO Process	GO:0043412	Macromolecule modification
MDM2	9606.ENSP00000258149	GO Process	GO:0043516	Regulation of DNA damage response, signal transduction by p53 class mediator
MDM2	9606.ENSP00000258149	GO Process	GO:0043518	Negative regulation of DNA damage response, signal transduction by p53 class mediator
MDM2	9606.ENSP00000258149	GO Process	GO:0043632	Modification-dependent macromolecule catabolic process
MDM2	9606.ENSP00000258149	GO Process	GO:0043933	Protein-containing complex organization
MDM2	9606.ENSP00000258149	GO Process	GO:0044057	Regulation of system process
MDM2	9606.ENSP00000258149	GO Process	GO:0044085	Cellular component biogenesis
MDM2	9606.ENSP00000258149	GO Process	GO:0044237	Cellular metabolic process
MDM2	9606.ENSP00000258149	GO Process	GO:0044238	Primary metabolic process
MDM2	9606.ENSP00000258149	GO Process	GO:0044248	Cellular catabolic process
MDM2	9606.ENSP00000258149	GO Process	GO:0044260	Cellular macromolecule metabolic process
MDM2	9606.ENSP00000258149	GO Process	GO:0044265	Cellular macromolecule catabolic process
MDM2	9606.ENSP00000258149	GO Process	GO:0044773	Mitotic DNA damage checkpoint signaling
MDM2	9606.ENSP00000258149	GO Process	GO:0044774	Mitotic DNA integrity checkpoint signaling
MDM2	9606.ENSP00000258149	GO Process	GO:0044819	Mitotic G1/S transition checkpoint signaling
MDM2	9606.ENSP00000258149	GO Process	GO:0045184	Establishment of protein localization
MDM2	9606.ENSP00000258149	GO Process	GO:0045595	Regulation of cell differentiation
MDM2	9606.ENSP00000258149	GO Process	GO:0045597	Positive regulation of cell differentiation
MDM2	9606.ENSP00000258149	GO Process	GO:0045732	Positive regulation of protein catabolic process
MDM2	9606.ENSP00000258149	GO Process	GO:0045786	Negative regulation of cell cycle
MDM2	9606.ENSP00000258149	GO Process	GO:0045787	Positive regulation of cell cycle
MDM2	9606.ENSP00000258149	GO Process	GO:0045862	Positive regulation of proteolysis
MDM2	9606.ENSP00000258149	GO Process	GO:0045892	Negative regulation of transcription, DNA-templated
MDM2	9606.ENSP00000258149	GO Process	GO:0045930	Negative regulation of mitotic cell cycle
MDM2	9606.ENSP00000258149	GO Process	GO:0045931	Positive regulation of mitotic cell cycle
MDM2	9606.ENSP00000258149	GO Process	GO:0045934	Negative regulation of nucleobase-containing compound metabolic process
MDM2	9606.ENSP00000258149	GO Process	GO:0046677	Response to antibiotic
MDM2	9606.ENSP00000258149	GO Process	GO:0048513	Animal organ development
MDM2	9606.ENSP00000258149	GO Process	GO:0048518	Positive regulation of biological process
MDM2	9606.ENSP00000258149	GO Process	GO:0048519	Negative regulation of biological process
MDM2	9606.ENSP00000258149	GO Process	GO:0048522	Positive regulation of cellular process
MDM2	9606.ENSP00000258149	GO Process	GO:0048523	Negative regulation of cellular process
MDM2	9606.ENSP00000258149	GO Process	GO:0048583	Regulation of response to stimulus
MDM2	9606.ENSP00000258149	GO Process	GO:0048585	Negative regulation of response to stimulus
MDM2	9606.ENSP00000258149	GO Process	GO:0048729	Tissue morphogenesis
MDM2	9606.ENSP00000258149	GO Process	GO:0048731	System development
MDM2	9606.ENSP00000258149	GO Process	GO:0048771	Tissue remodeling
MDM2	9606.ENSP00000258149	GO Process	GO:0048856	Anatomical structure development
MDM2	9606.ENSP00000258149	GO Process	GO:0050789	Regulation of biological process
MDM2	9606.ENSP00000258149	GO Process	GO:0050793	Regulation of developmental process
MDM2	9606.ENSP00000258149	GO Process	GO:0050794	Regulation of cellular process
MDM2	9606.ENSP00000258149	GO Process	GO:0050896	Response to stimulus
MDM2	9606.ENSP00000258149	GO Process	GO:0051094	Positive regulation of developmental process
MDM2	9606.ENSP00000258149	GO Process	GO:0051147	Regulation of muscle cell differentiation
MDM2	9606.ENSP00000258149	GO Process	GO:0051149	Positive regulation of muscle cell differentiation
MDM2	9606.ENSP00000258149	GO Process	GO:0051171	Regulation of nitrogen compound metabolic process
MDM2	9606.ENSP00000258149	GO Process	GO:0051172	Negative regulation of nitrogen compound metabolic process
MDM2	9606.ENSP00000258149	GO Process	GO:0051173	Positive regulation of nitrogen compound metabolic process
MDM2	9606.ENSP00000258149	GO Process	GO:0051179	Localization
MDM2	9606.ENSP00000258149	GO Process	GO:0051234	Establishment of localization
MDM2	9606.ENSP00000258149	GO Process	GO:0051239	Regulation of multicellular organismal process
MDM2	9606.ENSP00000258149	GO Process	GO:0051246	Regulation of protein metabolic process
MDM2	9606.ENSP00000258149	GO Process	GO:0051247	Positive regulation of protein metabolic process
MDM2	9606.ENSP00000258149	GO Process	GO:0051252	Regulation of RNA metabolic process
MDM2	9606.ENSP00000258149	GO Process	GO:0051253	Negative regulation of RNA metabolic process
MDM2	9606.ENSP00000258149	GO Process	GO:0051603	Proteolysis involved in protein catabolic process
MDM2	9606.ENSP00000258149	GO Process	GO:0051641	Cellular localization
MDM2	9606.ENSP00000258149	GO Process	GO:0051716	Cellular response to stimulus
MDM2	9606.ENSP00000258149	GO Process	GO:0051726	Regulation of cell cycle
MDM2	9606.ENSP00000258149	GO Process	GO:0051865	Protein autoubiquitination
MDM2	9606.ENSP00000258149	GO Process	GO:0060255	Regulation of macromolecule metabolic process
MDM2	9606.ENSP00000258149	GO Process	GO:0060411	Cardiac septum morphogenesis
MDM2	9606.ENSP00000258149	GO Process	GO:0060485	Mesenchyme development
MDM2	9606.ENSP00000258149	GO Process	GO:0060548	Negative regulation of cell death
MDM2	9606.ENSP00000258149	GO Process	GO:0061136	Regulation of proteasomal protein catabolic process
MDM2	9606.ENSP00000258149	GO Process	GO:0065003	Protein-containing complex assembly
MDM2	9606.ENSP00000258149	GO Process	GO:0065007	Biological regulation
MDM2	9606.ENSP00000258149	GO Process	GO:0065008	Regulation of biological quality
MDM2	9606.ENSP00000258149	GO Process	GO:0070482	Response to oxygen levels
MDM2	9606.ENSP00000258149	GO Process	GO:0070647	Protein modification by small protein conjugation or removal
MDM2	9606.ENSP00000258149	GO Process	GO:0070727	Cellular macromolecule localization
MDM2	9606.ENSP00000258149	GO Process	GO:0070887	Cellular response to chemical stimulus
MDM2	9606.ENSP00000258149	GO Process	GO:0071214	Cellular response to abiotic stimulus
MDM2	9606.ENSP00000258149	GO Process	GO:0071236	Cellular response to antibiotic
MDM2	9606.ENSP00000258149	GO Process	GO:0071310	Cellular response to organic substance
MDM2	9606.ENSP00000258149	GO Process	GO:0071417	Cellular response to organonitrogen compound
MDM2	9606.ENSP00000258149	GO Process	GO:0071453	Cellular response to oxygen levels
MDM2	9606.ENSP00000258149	GO Process	GO:0071456	Cellular response to hypoxia
MDM2	9606.ENSP00000258149	GO Process	GO:0071478	Cellular response to radiation
MDM2	9606.ENSP00000258149	GO Process	GO:0071479	Cellular response to ionizing radiation
MDM2	9606.ENSP00000258149	GO Process	GO:0071480	Cellular response to gamma radiation
MDM2	9606.ENSP00000258149	GO Process	GO:0071495	Cellular response to endogenous stimulus
MDM2	9606.ENSP00000258149	GO Process	GO:0071704	Organic substance metabolic process
MDM2	9606.ENSP00000258149	GO Process	GO:0071840	Cellular component organization or biogenesis
MDM2	9606.ENSP00000258149	GO Process	GO:0072132	Mesenchyme morphogenesis
MDM2	9606.ENSP00000258149	GO Process	GO:0072331	Signal transduction by p53 class mediator
MDM2	9606.ENSP00000258149	GO Process	GO:0072359	Circulatory system development
MDM2	9606.ENSP00000258149	GO Process	GO:0072716	Response to actinomycin D
MDM2	9606.ENSP00000258149	GO Process	GO:0072717	Cellular response to actinomycin D
MDM2	9606.ENSP00000258149	GO Process	GO:0080090	Regulation of primary metabolic process
MDM2	9606.ENSP00000258149	GO Process	GO:0080134	Regulation of response to stress
MDM2	9606.ENSP00000258149	GO Process	GO:0080135	Regulation of cellular response to stress
MDM2	9606.ENSP00000258149	GO Process	GO:0090068	Positive regulation of cell cycle process
MDM2	9606.ENSP00000258149	GO Process	GO:0097435	Supramolecular fiber organization
MDM2	9606.ENSP00000258149	GO Process	GO:0104004	Cellular response to environmental stimulus
MDM2	9606.ENSP00000258149	GO Process	GO:1900087	Positive regulation of G1/S transition of mitotic cell cycle
MDM2	9606.ENSP00000258149	GO Process	GO:1901564	Organonitrogen compound metabolic process
MDM2	9606.ENSP00000258149	GO Process	GO:1901565	Organonitrogen compound catabolic process
MDM2	9606.ENSP00000258149	GO Process	GO:1901575	Organic substance catabolic process
MDM2	9606.ENSP00000258149	GO Process	GO:1901652	Response to peptide
MDM2	9606.ENSP00000258149	GO Process	GO:1901653	Cellular response to peptide
MDM2	9606.ENSP00000258149	GO Process	GO:1901698	Response to nitrogen compound
MDM2	9606.ENSP00000258149	GO Process	GO:1901699	Cellular response to nitrogen compound
MDM2	9606.ENSP00000258149	GO Process	GO:1901700	Response to oxygen-containing compound
MDM2	9606.ENSP00000258149	GO Process	GO:1901701	Cellular response to oxygen-containing compound
MDM2	9606.ENSP00000258149	GO Process	GO:1901796	Regulation of signal transduction by p53 class mediator
MDM2	9606.ENSP00000258149	GO Process	GO:1901797	Negative regulation of signal transduction by p53 class mediator
MDM2	9606.ENSP00000258149	GO Process	GO:1901800	Positive regulation of proteasomal protein catabolic process
