Gene,Type,HR,CI_lower,CI_upper,P_value,Significant
PHLDB3,Our Gene,0.4982989308836692,0.36784784929467373,0.6750123046686604,7.478042847582241e-07,True
KRAS,Known,1.9440953583078595,1.3334840899066613,2.834309603542938,0.006409944515287151,True
SMAD4,Known,0.7584416346077003,0.5585991724411606,1.029779028480376,0.10580106291996884,False
TP53,Known,1.1551688633018056,0.8652981827228119,1.5421448113331468,0.8522687520144909,False
CDKN2A,Known,0.9831106249791508,0.8943952732239391,1.0806256807049361,0.9428475046575681,False
